feature,gain,split
POS_MONTHS_BALANCE_MAX,4852.832685470581,219.2
PREV_Cash_AMT_ANNUITY_MEAN,4845.685171508789,259.0
INS_AMT_PAYMENT_MAX,4834.064538288117,228.2
APPROVED_AMT_CREDIT_MEAN,4815.362558460236,241.2
LAST_LOAN_PAID_OVER_AMOUNT_mean,4811.463157653809,193.0
PREV_DAYS_DECISION_MAX,4800.356826305389,252.6
BUREAU_STATUS_0_MEAN,4795.652363014221,282.2
YEARS_BEGINEXPLUATATION_MODE,4767.085341072083,254.2
PREV_Cash_SIMPLE_INTERESTS_VAR,4758.261376857758,268.4
12_TREND_PAID_OVER_AMOUNT,4738.650417804718,270.2
TOTAL_REPAYMENT_RATIO,4733.0370042800905,242.2
BUREAU_LAST6M_AMT_CREDIT_SUM_MAX,4717.727106761932,253.0
PREV_APPLICATION_CREDIT_DIFF_MIN,4717.491403388977,240.2
APPROVED_AMT_ANNUITY_MAX,4710.592758941651,237.2
PREV_CREDIT_TO_ANNUITY_RATIO_MAX,4709.609336280822,240.6
LANDAREA_AVG,4706.108664703369,262.0
POS_REMAINING_INSTALMENTS_RATIO,4693.603087997437,230.8
PREV_LAST12M_AMT_CREDIT_SUM,4686.46441822052,247.0
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,4651.880583763123,192.2
BUREAU_CLOSED_AMT_CREDIT_MAX_OVERDUE_MAX,4650.714852714538,248.6
BUREAU_LL_DEBT_CREDIT_DIFF_MEAN,4639.8068946838375,228.0
DEF_60_CNT_SOCIAL_CIRCLE,4621.329628944397,178.4
INS_LATE_PAYMENT_MEAN,4613.8264616012575,222.2
PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MEAN,4591.986320209503,209.8
BUREAU_SK_ID_BUREAU_NUNIQUE,4565.297360420227,230.4
PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MAX,4564.753673171997,216.6
APPROVED_DAYS_LAST_DUE_MEAN,4550.2270584106445,223.4
INS_18M_LATE_PAYMENT_MEAN,4544.80659122467,199.2
60_TREND_PAID_OVER_AMOUNT,4516.825757217407,238.4
NAME_EDUCATION_TYPE,4490.312706756592,82.4
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,4486.604014492035,225.8
PREV_ACTIVE_AMT_APPLICATION_MEAN,4485.533518218994,235.0
BUREAU_MONTHS_BALANCE_SIZE_MEAN,4484.92544631958,219.2
BUREAU_MICROLOAN_DAYS_CREDIT_MEAN,4480.001763343811,129.2
INS_36M_LATE_PAYMENT_MEAN,4470.8241153717045,196.6
APPROVED_DAYS_TERMINATION_MEAN,4456.33641500473,229.0
24_TREND_PAID_OVER_AMOUNT,4441.700480937958,245.0
INS_DPD_MEAN,4441.433847618103,211.0
APARTMENTS_MODE,4428.909331035614,222.2
APPROVED_APPLICATION_CREDIT_RATIO_MIN,4416.525876140595,225.8
PREV_AMT_ANNUITY_MAX,4405.073073387146,241.6
PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MAX,4384.399903297424,187.2
APPROVED_CREDIT_TO_ANNUITY_RATIO_MAX,4367.801992416382,218.6
LAST_LOAN_DPD_max,4360.806281471252,104.8
REFUSED_APPLICATION_CREDIT_DIFF_MAX,4354.672194671631,209.8
BASEMENTAREA_AVG,4350.116007232666,230.4
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,4344.407739067077,197.6
APPROVED_DAYS_DECISION_MIN,4334.432939529419,205.2
PREV_PRODUCT_COMBINATION_POS household with interest_MEAN,4330.235678386688,232.6
INS_SIGNIFICANT_LATE_PAYMENT_MEAN,4324.869550132751,207.0
APPROVED_AMT_CREDIT_MAX,4315.176534938812,213.4
PREV_LAST12M_AMT_ANNUITY_MEAN,4306.434402656555,240.2
APPROVED_DAYS_FIRST_DUE_MIN,4295.480041599274,194.2
INS_AMT_INSTALMENT_MEAN,4292.8439071655275,224.2
REFUSED_DAYS_DECISION_MIN,4260.054790687561,220.8
PREV_ACTIVE_AMT_ANNUITY_SUM,4254.6083499908445,225.8
PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MEAN,4248.499680519104,187.2
PREV_NAME_YIELD_GROUP_middle_MEAN,4248.19589061737,230.6
PREV_HOUR_APPR_PROCESS_START_MAX,4245.88269815445,214.0
APARTMENTS_MEDI,4221.027040863037,212.2
LIVINGAPARTMENTS_AVG,4219.0888102531435,229.6
PREV_ACTIVE_AMT_APPLICATION_MAX,4164.335887336731,223.0
PREV_LAST12M_APPLICATION_CREDIT_RATIO_MIN,4124.435063457489,182.0
CC_12M_LIMIT_USE_MAX,4114.874364852905,159.8
AGE_RANGE,4108.743797302246,146.2
CC_24M_CNT_DRAWINGS_ATM_CURRENT_MEAN,4078.6966777801513,95.8
BUREAU_STATUS_C_MEAN,4053.9359508514403,214.2
GROUP2_CREDIT_STD,4045.424251365662,206.4
REFUSED_APPLICATION_CREDIT_RATIO_MEAN,4039.935683917999,208.2
BUREAU_LAST36M_AMT_CREDIT_MAX_OVERDUE_MEAN,4023.295702838898,176.2
REFUSED_APPLICATION_CREDIT_RATIO_MIN,3993.831931114197,173.6
PREV_LAST6M_DAYS_DECISION_MIN,3984.7728499412538,245.0
BUREAU_CREDIT_TYPE_Credit card_MEAN,3966.892322063446,214.4
BUREAU_LAST24M_AMT_CREDIT_MAX_OVERDUE_MAX,3947.1267471313477,158.6
BUREAU_LAST6M_AMT_CREDIT_SUM_DEBT_SUM,3944.7176738739013,201.8
NONLIVINGAREA_AVG,3927.8181985855103,217.6
BUREAU_LL_AMT_CREDIT_SUM_OVERDUE_MEAN,3898.0981830596925,221.0
INS_36M_PAYMENT_DIFFERENCE_MEAN,3898.096102523804,175.8
PREV_ACTIVE_AMT_ANNUITY_MAX,3858.8594734191893,204.4
BUREAU_ACTIVE_MONTHS_BALANCE_SIZE_MEAN,3854.0648823738097,231.2
BUREAU_CREDIT_TYPE_Consumer credit_MEAN,3844.5712080955504,205.6
PREV_LAST12M_APPLICATION_CREDIT_RATIO_MEAN,3844.143738269806,200.6
REFUSED_AMT_APPLICATION_MAX,3842.460835838318,196.2
BUREAU_CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,3835.790938949585,201.8
PREV_NAME_YIELD_GROUP_low_action_MEAN,3825.9573921203614,190.8
PREV_LAST6M_DAYS_DECISION_MEAN,3802.3647035598756,222.8
PREV_Cash_APPLICATION_CREDIT_RATIO_MAX,3801.969293308258,193.0
REFUSED_AMT_CREDIT_MAX,3799.764214134216,179.4
INS_DPD_VAR,3791.8172340393066,194.0
COMMONAREA_AVG,3721.9155628204344,205.6
WEEKDAY_APPR_PROCESS_START,3716.36749792099,241.6
BASEMENTAREA_MODE,3709.8482278823853,201.6
PREV_CHANNEL_TYPE_Country-wide_MEAN,3696.185567378998,199.4
BUREAU_CLOSED_STATUS_12345_MEAN,3695.970322704315,180.2
BUREAU_MONTHS_BALANCE_MEAN_VAR,3682.9714859962464,206.4
LANDAREA_MODE,3634.572616004944,203.2
POS_SK_DPD_DEF_MAX,3631.6432806015014,153.8
PREV_ACTIVE_INSTALMENT_PAYMENT_DIFF_MEAN,3618.5222385406496,168.0
BUREAU_LAST24M_STATUS_0_MEAN,3594.2033256530763,203.0
LANDAREA_MEDI,3581.948794364929,192.6
BUREAU_MICROLOAN_AMT_CREDIT_SUM_MEAN,3568.614508628845,104.4
BUREAU_ACTIVE_MONTHS_BALANCE_MEAN_MEAN,3566.2932430267333,194.2
BUREAU_MONTHS_BALANCE_SIZE_SUM,3557.546704959869,204.2
PREV_LAST12M_APPLICATION_CREDIT_DIFF_MIN,3534.4601385116575,191.0
CURRENT_TO_BUREAU_ANNUITY_MEAN_RATIO,3531.769179725647,202.2
PREV_LAST12M_AMT_ANNUITY_MAX,3516.444523715973,192.8
REFUSED_CNT_PAYMENT_MEAN,3513.945718574524,173.2
BUREAU_MONTHS_BALANCE_MEAN_MEAN,3501.4132583618166,182.2
PREV_LAST12M_SIMPLE_INTERESTS_MEAN,3476.3155572891237,182.8
BUREAU_STATUS_X_MEAN,3475.8766726493836,196.0
REFUSED_APPLICATION_CREDIT_DIFF_MEAN,3454.5117245674132,172.6
BUREAU_LAST36M_STATUS_0_MEAN,3442.7202019691467,195.6
BUREAU_MICROLOAN_DAYS_CREDIT_MAX,3442.5570590019224,108.2
APPROVED_DAYS_LAST_DUE_1ST_VERSION_MAX,3431.544219970703,161.6
BUREAU_LAST12M_AMT_CREDIT_MAX_OVERDUE_MAX,3427.107615661621,129.6
AMT_CREDIT_MAX_OVERDUE,3397.5237411499024,157.8
PREV_ACTIVE_AMT_PAYMENT_SUM,3394.835015678406,183.0
PREV_NAME_YIELD_GROUP_low_normal_MEAN,3374.8374029159545,181.8
CC_PAYMENT_DIV_MIN_MIN,3372.160230350494,210.0
LAST_LOAN_PAID_OVER_AMOUNT_std,3369.769448375702,181.8
INS_DPD_7_MEAN,3361.0763818740843,149.4
BUREAU_ACTIVE_CREDIT_TO_ANNUITY_RATIO_MEAN,3348.0768168449404,191.0
PREV_LAST12M_APPLICATION_CREDIT_RATIO_MAX,3345.1093496322633,188.0
PREV_NAME_YIELD_GROUP_XNA_MEAN,3342.3207165718077,176.8
PREV_NAME_TYPE_SUITE_Family_MEAN,3323.214853286743,180.0
PREV_NAME_YIELD_GROUP_high_MEAN,3321.3684958457948,172.0
BASEMENTAREA_MEDI,3314.38046541214,177.8
BUREAU_ACTIVE_MONTHS_BALANCE_MEAN_VAR,3311.5548709869386,196.2
DOCUMENT_COUNT,3307.7208059310915,159.0
REFUSED_APPLICATION_CREDIT_DIFF_MIN,3297.012555885315,159.6
BUREAU_AMT_ANNUITY_MEAN,3289.4621374130247,183.2
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,3286.752189445496,176.4
POS_NAME_CONTRACT_STATUS_Signed_MEAN,3265.689974308014,176.4
BUREAU_LAST12M_AMT_CREDIT_MAX_OVERDUE_MEAN,3245.9191564559937,128.6
HOUR_APPR_PROCESS_START,3243.2428908348083,189.6
PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,3225.306601047516,165.6
INS_PAYMENT_RATIO_MEAN,3220.5689046859743,134.2
COMMONAREA_MEDI,3197.4690344810488,188.6
BUREAU_MORTGAGE_AMT_CREDIT_SUM_MAX,3159.7892552375793,127.6
ENTRANCES_AVG,3155.215315437317,166.4
PREV_ACTIVE_SIMPLE_INTERESTS_MEAN,3147.3479195594787,161.4
FLAG_WORK_PHONE,3092.983053779602,169.8
NONLIVINGAREA_MEDI,3084.6764662742617,171.6
PREV_ACTIVE_INSTALMENT_PAYMENT_DIFF_MAX,3070.293287086487,144.8
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,3061.56840429306,176.4
APPROVED_HOUR_APPR_PROCESS_START_MIN,3059.6845194816588,162.0
PREV_CHANNEL_TYPE_Stone_MEAN,3056.9055079460145,169.0
REFUSED_AMT_APPLICATION_MEAN,3052.342714691162,161.2
LAST_LOAN_PAID_OVER_AMOUNT_min,3044.4747745513914,153.0
YEARS_BUILD_AVG,3035.556864452362,164.8
PREV_PRODUCT_COMBINATION_POS industry with interest_MEAN,3024.9000761032103,178.0
BUREAU_LAST24M_AMT_CREDIT_MAX_OVERDUE_MEAN,3011.156452560425,129.8
LIVINGAPARTMENTS_MEDI,2998.611727142334,161.8
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,2967.8728427886963,134.4
GROUP2_CREDIT_TO_ANNUITY_MEDIAN,2934.461949157715,124.0
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,2927.588778305054,151.0
FLOORSMAX_AVG,2921.4944117546083,138.8
REG_CITY_NOT_LIVE_CITY,2917.754085350037,127.8
BUREAU_ACTIVE_MONTHS_BALANCE_SIZE_SUM,2879.2915239334106,161.2
GROUP1_INCOME_MEDIAN,2867.068741798401,150.8
BUREAU_LAST6M_AMT_CREDIT_SUM_DEBT_MEAN,2861.0887376785277,160.8
PREV_ACTIVE_CNT_PAYMENT_SUM,2858.856226730347,134.6
INS_36M_PAYMENT_RATIO_MEAN,2822.3507224082946,118.0
PREV_NAME_CLIENT_TYPE_New_MEAN,2787.2975900650026,144.8
LAST_LOAN_PAID_OVER_AMOUNT_sum,2765.4493845939637,148.6
REGION_RATING_CLIENT,2761.8491479873655,98.6
PREV_PRODUCT_COMBINATION_POS mobile with interest_MEAN,2756.51984539032,144.0
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,2721.1978158950806,136.8
BUREAU_MICROLOAN_AMT_CREDIT_SUM_DEBT_MEAN,2709.846413040161,85.4
PREV_HOUR_APPR_PROCESS_START_MIN,2699.1273188591003,139.8
APPROVED_CNT_PAYMENT_MAX,2691.0864024162292,103.2
CC_12M_LIMIT_USE_MEAN,2689.8643795013427,96.0
GROUP2_INCOME_MEDIAN,2688.5694021224976,117.0
OBS_30_CNT_SOCIAL_CIRCLE,2684.572697067261,149.8
LAST_LOAN_DPD_sum,2665.6441728591917,100.8
PREV_PRODUCT_COMBINATION_Cash X-Sell: middle_MEAN,2653.207575130463,147.2
INS_18M_DPD_MAX,2635.9979773521422,112.0
LATE_PAYMENT_SUM,2632.860563468933,135.2
REFUSED_CNT_PAYMENT_MAX,2626.482046794891,105.4
LAST_LOAN_PAID_OVER_count,2604.542650794983,135.2
INS_DPD_MAX,2582.023306655884,135.4
INS_36M_DPD_MAX,2552.0472749710084,124.6
YEARS_BUILD_MODE,2541.22409324646,141.2
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,2540.913823890686,136.6
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,2537.093605041504,157.2
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,2524.7443578720095,116.8
BUREAU_LAST24M_AMT_CREDIT_SUM_OVERDUE_MEAN,2503.186021232605,77.0
PREV_LAST6M_SIMPLE_INTERESTS_MAX,2500.371336746216,136.8
PREV_ACTIVE_CNT_PAYMENT_MEAN,2495.242133617401,115.4
PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,2494.3138217926025,133.8
PREV_CNT_PAYMENT_MAX,2468.713081550598,90.2
PREV_LAST24M_NAME_CONTRACT_TYPE_Revolving loans_MEAN,2463.6292197227476,119.0
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,2457.8482612609864,131.8
CC_PAYMENT_DIV_MIN_MEAN,2448.841806411743,115.4
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,2397.753827190399,142.4
POS_LATE_PAYMENT_MEAN,2384.8573392868043,121.4
BUREAU_MICROLOAN_AMT_CREDIT_SUM_MAX,2362.9465028762816,64.8
PREV_LAST6M_SIMPLE_INTERESTS_MEAN,2359.1536350250244,126.4
PREV_LAST6M_AMT_ANNUITY_MEAN,2343.7822094917296,133.2
BUREAU_LAST36M_AMT_CREDIT_SUM_OVERDUE_MEAN,2329.4860429763794,82.6
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,2308.1537875175477,122.6
BUREAU_CREDIT_AMT_CREDIT_MAX_OVERDUE_MAX,2301.3751516342163,124.2
PREV_LAST6M_DAYS_LAST_DUE_1ST_VERSION_MAX,2291.85307970047,127.6
POS_SK_ID_PREV_NUNIQUE,2274.938184928894,82.6
BUREAU_STATUS_1_MEAN,2274.594887161255,115.2
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,2269.2998675346375,116.0
PREV_LAST6M_AMT_CREDIT_SUM,2263.232233810425,133.0
BUREAU_MORTGAGE_AMT_CREDIT_SUM_MEAN,2239.0521734237673,96.8
BUREAU_CREDIT_AMT_CREDIT_MAX_OVERDUE_MEAN,2222.5848125457765,125.2
APPROVED_DAYS_LAST_DUE_MAX,2181.3575585365297,109.0
FLAG_DOCUMENT_3,2181.0677755355837,107.2
BUREAU_LAST12M_STATUS_0_MEAN,2173.889979362488,125.6
YEARS_BUILD_MEDI,2133.827950668335,118.2
PREV_LAST6M_APPLICATION_CREDIT_RATIO_MAX,2130.8210426330565,109.0
"PREV_NAME_TYPE_SUITE_Spouse, partner_MEAN",2130.3526149749755,117.6
NONLIVINGAPARTMENTS_AVG,2107.64556350708,118.8
CC_24M_LIMIT_USE_MAX,2106.2031667709352,81.4
CC_MONTHS_BALANCE_MIN,2104.8039043426515,105.4
AMT_REQ_CREDIT_BUREAU_QRT,2103.611911487579,124.0
POS_SK_DPD_DEF_SUM,2098.440254020691,98.4
PREV_PRODUCT_COMBINATION_Cash_MEAN,2095.9457417488097,120.0
PREV_CHANNEL_TYPE_Regional / Local_MEAN,2095.61904296875,121.2
PREV_LAST6M_AMT_ANNUITY_MAX,2078.9836236953734,119.8
CC_CNT_DRAWINGS_CURRENT_SUM,2077.3037903785707,107.0
ENTRANCES_MEDI,2066.8380268096926,110.4
OBS_60_CNT_SOCIAL_CIRCLE,2046.7627775192261,118.2
PREV_LAST6M_DAYS_LAST_DUE_1ST_VERSION_MIN,2013.7914474487304,103.6
PREV_LAST24M_NAME_CONTRACT_TYPE_Cash loans_MEAN,2004.849362564087,102.6
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,1997.468975162506,105.2
NEW_DOC_KURT,1993.3498521804809,76.4
BUREAU_CREDIT_TYPE_Microloan_MEAN,1980.6943655014038,60.0
BUREAU_STATUS_12345_MEAN,1924.3466474533082,94.8
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,1893.8944828033448,98.0
PREV_CHANNEL_TYPE_Contact center_MEAN,1859.6621019363404,109.2
PREV_SK_ID_PREV_NUNIQUE,1857.4744122505188,103.2
PREV_LAST6M_DAYS_LAST_DUE_1ST_VERSION_MEAN,1846.0433590888977,96.8
POS_SK_DPD_MEAN,1839.8345637321472,94.0
PREV_LAST6M_APPLICATION_CREDIT_RATIO_MEAN,1827.4913849830627,94.8
PREV_LAST24M_NAME_CONTRACT_TYPE_Consumer loans_MEAN,1825.3128101348877,89.2
PREV_LAST6M_APPLICATION_CREDIT_DIFF_MIN,1800.759311103821,101.8
AMT_REQ_CREDIT_BUREAU_YEAR,1780.6266159057618,93.6
FLOORSMIN_AVG,1778.1279460906983,97.6
PREV_PRODUCT_COMBINATION_POS other with interest_MEAN,1774.9898178100586,98.4
BUREAU_CREDIT_TYPE_Mortgage_MEAN,1771.8968084335327,74.6
ENTRANCES_MODE,1765.082151222229,98.0
BUREAU_MORTGAGE_DAYS_CREDIT_MAX,1764.068703174591,92.6
POS_SK_DPD_VAR,1754.956711769104,94.4
FLOORSMAX_MEDI,1754.5098840713501,84.6
POS_NAME_CONTRACT_STATUS_Returned to the store_MEAN,1748.2586429595947,94.2
BUREAU_CAR_AMT_CREDIT_SUM_MEAN,1713.9740580558778,103.2
PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,1711.9075833320617,88.4
ELEVATORS_AVG,1704.0416376113892,87.2
CC_AMT_BALANCE_MAX,1680.4950647354126,77.0
CC_48M_CNT_DRAWINGS_ATM_CURRENT_MEAN,1661.8158290863037,43.4
CC_AMT_TOTAL_RECEIVABLE_MEAN,1661.6863238334656,73.4
POS_COMPLETED_BEFORE_MEAN,1656.3491273880004,92.4
INS_DPD_15_MEAN,1649.2353528976441,79.8
PREV_LAST6M_APPLICATION_CREDIT_RATIO_MIN,1641.8157073020934,88.4
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,1634.0119417190551,86.6
BUREAU_CAR_AMT_CREDIT_SUM_MAX,1629.6129848480225,97.6
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,1627.9712308883668,88.2
CC_AMT_INST_MIN_REGULARITY_MEAN,1619.9735416412354,81.8
POS_SK_DPD_SUM,1612.4939205169678,88.6
CC_24M_LIMIT_USE_MEAN,1591.5564002990723,53.2
CC_12M_AMT_BALANCE_MEAN,1591.3545944690704,67.2
CC_AMT_DRAWINGS_POS_CURRENT_SUM,1583.157054233551,93.0
BUREAU_LAST12M_AMT_CREDIT_SUM_OVERDUE_MEAN,1558.7668407440185,68.4
BUREAU_MORTGAGE_DAYS_CREDIT_MEAN,1551.8113802909852,79.0
REFUSED_NAME_CONTRACT_TYPE_Cash loans_MEAN,1534.457172012329,73.2
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,1516.834486579895,81.0
CC_AMT_INST_MIN_REGULARITY_MAX,1444.1317471504212,70.2
CC_AMT_DRAWINGS_CURRENT_MAX,1438.81907787323,75.2
PREV_PRODUCT_COMBINATION_Card Street_MEAN,1435.040376472473,81.0
BUREAU_MICROLOAN_AMT_CREDIT_SUM_DEBT_MAX,1431.2007318496703,46.8
POS_SK_DPD_MAX,1424.2444456100463,78.2
CC_AMT_TOTAL_RECEIVABLE_MAX,1393.315398979187,63.2
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,1375.508378124237,77.0
NONLIVINGAPARTMENTS_MEDI,1356.6488069534303,77.4
CC_AMT_DRAWINGS_POS_CURRENT_MAX,1338.4408168315888,80.0
BUREAU_CLOSED_AMT_CREDIT_SUM_DEBT_MAX,1334.731833076477,67.0
PREV_PRODUCT_COMBINATION_POS mobile without interest_MEAN,1333.5794885635376,76.8
BUREAU_CONSUMER_DEBT_PERCENTAGE_MEAN,1326.6889680862428,71.8
BUREAU_MICROLOAN_DEBT_CREDIT_DIFF_MEAN,1316.1897785186768,41.6
PREV_PRODUCT_COMBINATION_POS household without interest_MEAN,1296.1942474365235,73.0
REFUSED_NAME_CONTRACT_TYPE_Consumer loans_MEAN,1289.1569297790527,59.6
PREV_PRODUCT_COMBINATION_Card X-Sell_MEAN,1288.156841468811,73.0
CC_AMT_DRAWINGS_CURRENT_SUM,1280.9614552497865,69.2
PREV_LAST12M_NAME_CONTRACT_TYPE_Cash loans_MEAN,1270.0211664199828,66.6
BUREAU_CAR_DEBT_CREDIT_DIFF_MEAN,1264.025984954834,74.4
PREV_PRODUCT_COMBINATION_Cash Street: middle_MEAN,1253.6965915679932,68.6
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,1239.7138348579406,67.4
INS_36M_DPD_15_MEAN,1238.5017097473144,53.4
APPROVED_DAYS_FIRST_DRAWING_MEAN,1236.4850889205932,65.2
PREV_LAST12M_NAME_CONTRACT_TYPE_Revolving loans_MEAN,1225.1557947158813,65.4
BUREAU_CLOSED_AMT_CREDIT_SUM_DEBT_SUM,1220.1983631134033,62.6
BUREAU_CREDIT_ACTIVE_Sold_MEAN,1210.4748142242431,66.2
FLAG_DOCUMENT_8,1210.2054711341857,70.6
APPROVED_SK_ID_PREV_NUNIQUE,1208.5084007263183,59.8
REFUSED_NAME_CONTRACT_TYPE_Revolving loans_MEAN,1195.668865776062,62.6
BUREAU_LAST36M_STATUS_12345_MEAN,1195.4259811401366,63.4
FLOORSMIN_MEDI,1189.4149478912354,65.8
PREV_PRODUCT_COMBINATION_Cash Street: high_MEAN,1183.7515446662903,60.4
PREV_NAME_CONTRACT_STATUS_Unused offer_MEAN,1169.386598968506,67.6
CNT_FAM_MEMBERS,1158.3524337768554,64.8
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,1152.0220903396607,54.0
PREV_ACTIVE_AMT_DOWN_PAYMENT_MAX,1149.05905418396,63.8
CC_LATE_PAYMENT_SUM,1146.606810283661,74.0
INS_SK_ID_PREV_NUNIQUE,1138.4904430389404,51.2
INS_18M_DPD_15_MEAN,1059.538659286499,47.4
PREV_CHANNEL_TYPE_Channel of corporate sales_MEAN,1036.0574470520019,71.8
PREV_NAME_TYPE_SUITE_Children_MEAN,1031.9251139640808,58.6
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,1003.5157075881958,33.2
PREV_NAME_TYPE_SUITE_Other_B_MEAN,996.8877374649048,58.2
INS_PAID_OVER_MEAN,975.1750852584839,52.8
PREV_LAST12M_NAME_CONTRACT_TYPE_Consumer loans_MEAN,965.6232301712037,50.6
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,944.1998517990112,34.8
CC_48M_LIMIT_USE_MAX,935.5715879440307,36.8
ELEVATORS_MODE,931.5173530578613,49.2
NAME_HOUSING_TYPE,895.1131399154663,60.4
BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,880.1961431503296,39.4
BUREAU_LAST6M_AMT_CREDIT_MAX_OVERDUE_MAX,878.2740795135499,40.8
BUREAU_CAR_DAYS_CREDIT_MEAN,870.7341089248657,51.8
BUREAU_LAST24M_STATUS_12345_MEAN,870.7011043548584,47.0
BUREAU_CAR_DAYS_CREDIT_MAX,846.1813947677613,51.6
BUREAU_MICROLOAN_DEBT_PERCENTAGE_MEAN,838.2666135787964,31.2
BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MAX,821.7054660797119,26.0
PREV_ACTIVE_AMT_DOWN_PAYMENT_MEAN,817.9377055168152,48.2
CC_SK_DPD_SUM,807.500075340271,55.4
BUREAU_MORTGAGE_DEBT_CREDIT_DIFF_MEAN,801.7929465293885,47.6
FLAG_OWN_CAR,797.8305337905883,25.2
PREV_NAME_TYPE_SUITE_Other_A_MEAN,784.5208477020263,43.0
BUREAU_LAST6M_AMT_CREDIT_MAX_OVERDUE_MEAN,771.0233839988708,38.2
CC_24M_AMT_BALANCE_MEAN,756.7027776718139,30.4
CC_12M_AMT_BALANCE_MAX,755.8100269317626,35.8
CC_SK_DPD_MEAN,699.2341810226441,44.6
BUREAU_CREDIT_TYPE_Car loan_MEAN,694.7413231849671,45.2
PREV_LAST6M_NAME_CONTRACT_TYPE_Revolving loans_MEAN,688.1879652023315,38.2
CNT_CHILDREN,673.7214946746826,38.2
PREV_PRODUCT_COMBINATION_POS industry without interest_MEAN,673.0744990348816,46.8
PREV_PRODUCT_COMBINATION_Cash Street: low_MEAN,668.8313011169433,41.6
LAST_LOAN_PAID_OVER_mean,649.9372873306274,37.6
CTAR_CREDIT_TO_GOODS_RATIO_STD,627.7517587661744,30.8
BUREAU_LAST6M_STATUS_0_MEAN,623.19457654953,38.0
BUREAU_MORTGAGE_AMT_CREDIT_SUM_DEBT_MAX,615.1250267028809,30.2
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,592.5733798980713,20.8
BUREAU_MORTGAGE_AMT_CREDIT_SUM_DEBT_MEAN,584.2376316070556,30.8
CREDIT_TO_ANNUITY_GROUP,575.3224031448365,20.8
AMT_REQ_CREDIT_BUREAU_MON,570.7477186203002,31.6
POS_NAME_CONTRACT_STATUS_Approved_MEAN,547.5806991577149,31.8
LAST_LOAN_PAID_OVER_AMOUNT_max,539.6577104568481,31.8
BUREAU_CAR_DEBT_PERCENTAGE_MEAN,538.9685203552247,30.2
BUREAU_CAR_AMT_CREDIT_SUM_DEBT_MEAN,502.6043947219849,30.4
CC_48M_LIMIT_USE_MEAN,449.9611873626709,17.2
PREV_LAST6M_NAME_CONTRACT_TYPE_Cash loans_MEAN,436.6607858657837,24.2
AMT_REQ_CREDIT_BUREAU_DAY,434.81356258392333,26.2
BUREAU_LAST12M_STATUS_12345_MEAN,434.63363494873045,25.2
PREV_ACTIVE_SK_ID_PREV_NUNIQUE,405.5948469161987,22.8
BUREAU_MORTGAGE_DEBT_PERCENTAGE_MEAN,400.0759819030762,25.2
BUREAU_CAR_AMT_CREDIT_SUM_DEBT_MAX,396.4900873184204,24.4
CC_12M_SK_DPD_SUM,386.90411376953125,26.4
CC_48M_AMT_BALANCE_MEAN,385.9840881347656,15.2
CC_24M_AMT_BALANCE_MAX,365.37177448272706,15.4
NAME_INCOME_TYPE,348.56562061309813,18.0
PREV_LAST6M_NAME_CONTRACT_TYPE_Consumer loans_MEAN,334.33796672821046,19.0
NAME_CONTRACT_TYPE,305.179501914978,14.8
BUREAU_CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,302.56970319747927,19.6
CC_SK_DPD_DEF_SUM,292.0034942626953,16.6
